Unnamed: 0,time,pelvis_tilt,pelvis_tilt_speed,pelvis_list,pelvis_list_speed,pelvis_rotation,pelvis_rotation_speed,pelvis_tx,pelvis_tx_speed,pelvis_ty,pelvis_ty_speed,pelvis_tz,pelvis_tz_speed,hip_flexion_r,hip_flexion_r_speed,hip_adduction_r,hip_adduction_r_speed,hip_rotation_r,hip_rotation_r_speed,knee_angle_r,knee_angle_r_speed,ankle_angle_r,ankle_angle_r_speed,hip_flexion_l,hip_flexion_l_speed,hip_adduction_l,hip_adduction_l_speed,hip_rotation_l,hip_rotation_l_speed,knee_angle_l,knee_angle_l_speed,ankle_angle_l,ankle_angle_l_speed,lumbar_extension,lumbar_extension_speed,abd_r_activation,abd_r_fiber_length,add_r_activation,add_r_fiber_length,hamstrings_r_activation,hamstrings_r_fiber_length,bifemsh_r_activation,bifemsh_r_fiber_length,glut_max_r_activation,glut_max_r_fiber_length,iliopsoas_r_activation,iliopsoas_r_fiber_length,rect_fem_r_activation,rect_fem_r_fiber_length,vasti_r_activation,vasti_r_fiber_length,abd_l_activation,abd_l_fiber_length,add_l_activation,add_l_fiber_length,hamstrings_l_activation,hamstrings_l_fiber_length,bifemsh_l_activation,bifemsh_l_fiber_length,glut_max_l_activation,glut_max_l_fiber_length,iliopsoas_l_activation,iliopsoas_l_fiber_length,rect_fem_l_activation,rect_fem_l_fiber_length,vasti_l_activation,vasti_l_fiber_length,gastroc_l_activation,gastroc_l_fiber_length,soleus_l_activation,soleus_l_fiber_length,tib_ant_l_activation,tib_ant_l_fiber_length,head_pos_x,head_pos_y,head_pos_z,com_pos_x,com_pos_y,com_pos_z,toes_l_x,toes_l_y,toes_l_z,pros_foot_r_x,pros_foot_r_y,pros_foot_r_z
0,0.0,-0.08963238800000001,0.0,-0.000269943,0.0,0.01042396,0.0,0.04222728,0.0,0.95938625,0.0,-0.01446118,0.0,0.259921186,0.0,0.044141361,0.0,0,0,-0.346938904,0.0,0.10926292300000001,0.0,0.124538314,0.0,0.013059745,0.0,0,0,-0.126271617,0.0,0.074615375,0.0,-0.0872665,0,0.05,0.077523069,0.05,0.055261375999999994,0.05,0.063558962,0.05,0.13434264699999998,0.05,0.160848247,0.05,0.130057686,0.05,0.060270446,0.05,0.078907569,0.05,0.077523069,0.05,0.055261375999999994,0.05,0.063558962,0.05,0.13434264699999998,0.05,0.160848247,0.05,0.130057686,0.05,0.060270446,0.05,0.078907569,0.05,0.057202577000000004,0.05,0.044948141,0.05,0.06288001,-0.052764320999999996,1.569407082,0.0,-0.08466565599999999,0.995273057,-0.003576087,0.054830143,0.004129304,-0.0925,-0.075199857,0.048079304,0.0835
1,0.01,-0.090929711,-0.011262082,3.76483e-05,0.00264189,0.009903454,0.00492933,0.04229601,0.0,0.95935726,0.0,-0.01351515,-0.000272205,0.25883395600000003,2.20445555,0.044842365999999995,-0.007080018,0,0,-0.342880746,-4.61151588,0.10962097,-4.41597136,0.127210762,-0.082974041,0.012129512,0.005145536,0,0,-0.12973227,0.053584535999999995,0.075089325,0.009050780999999999,-0.0872665,0,0.049240185,0.077845915,0.049166739,0.056178965,0.048421053,0.065159119,0.048421053,0.134347576,0.049027206,0.16222518800000002,0.050385369000000006,0.128948342,0.05047945,0.058924973,0.049221613,0.07895069,0.056087921,0.07780337400000001,0.053498727,0.055500355,0.073854171,0.06351844400000001,0.048681444000000004,0.133918332,0.061507897,0.161699799,0.048421053,0.12942245,0.048421053,0.060433920999999995,0.048421053,0.079784864,0.053746737,0.056672777,0.051941293,0.045035562,0.049007218,0.062749199,-0.044755389000000007,1.569689608,-0.0016723670000000001,-0.079456981,0.995848682,-0.003647441,0.05600775400000001,0.003515699,-0.091238593,-0.055855342999999995,0.048877465999999994,0.09155219199999999
2,0.02,-0.091277376,-0.022524163,0.00020993799999999998,0.00528378,0.010171696,0.00985866,0.04245529,0.0,0.95938629,0.0,-0.01255321,-0.000544409,0.256567411,2.43024784,0.045689399000000006,-0.014160036,0,0,-0.33877452700000005,-4.65322113,0.10960099300000001,-4.26996751,0.12940688,-0.165948082,0.011219348,0.010291072,0,0,-0.13392642800000001,0.107169073,0.07622614400000001,0.018101561999999998,-0.0872665,0,0.048480369,0.07816876099999999,0.048333478,0.057096553,0.046842105,0.066759277,0.046842105,0.13435250599999998,0.048054412000000005,0.16360213,0.050770737999999996,0.127838998,0.0509589,0.0575795,0.048443226,0.078993811,0.062175840999999996,0.07808368,0.056997455,0.055739332999999995,0.09770834099999999,0.063477925,0.047362887,0.133494017,0.07301579400000001,0.16255135199999998,0.046842105,0.128787215,0.046842105,0.060597395,0.046842105,0.080662159,0.057493474,0.056142977999999996,0.053882585,0.045122982,0.048014435999999994,0.062618388,-0.036742976000000004,1.569921759,-0.0033447209999999997,-0.07424269900000001,0.996438727,-0.003712427,0.05719537,0.002977891,-0.089962204,-0.036528427999999995,0.050127793,0.099677296
3,0.03,-0.09140988800000001,-0.033786245,0.000973815,0.00792567,0.009668799999999998,0.01478799,0.042654000000000004,0.0,0.95943961,0.0,-0.0116148,-0.0008166139999999999,0.25477135100000003,2.62382322,0.045872042,-0.021240053999999998,0,0,-0.335822575,-4.64371671,0.109004752,-3.85047528,0.130772261,-0.248922123,0.011030921,0.015436607,0,0,-0.136877167,0.160753609,0.077517903,0.027152343,-0.0872665,0,0.047720554000000005,0.078491608,0.047500217000000004,0.058014142000000005,0.045263158,0.06835943400000001,0.045263158,0.134357436,0.047081617,0.164979072,0.051156107,0.126729654,0.05143835,0.056234027,0.047664839,0.079036932,0.068263762,0.078363986,0.060496182,0.055978312,0.121562512,0.063437407,0.046044330999999994,0.13306970199999998,0.084523691,0.163402905,0.045263158,0.128151979,0.045263158,0.060760869,0.045263158,0.081539455,0.061240210999999996,0.055613179000000006,0.055823878,0.045210402999999996,0.047021654,0.062487577,-0.028727588,1.570103508,-0.005017052,-0.069023458,0.9970431959999999,-0.0037714590000000004,0.058393502,0.002516177,-0.08867106,-0.017228742,0.051830837000000005,0.107868818
4,0.04,-0.091652149,-0.045048326,0.001852383,0.01056756,0.008063948,0.01971732,0.04280271,0.0,0.95947712,0.0,-0.01064496,-0.001088819,0.25440845,2.76515844,0.046147513,-0.028320072,0,0,-0.33483235899999997,-4.56308718,0.108903964,-3.16528829,0.131689508,-0.331896164,0.010960168999999999,0.020582143,0,0,-0.13865074300000002,0.214338145,0.077370653,0.036203123999999996,-0.0872665,0,0.046960739,0.078814454,0.046666955999999996,0.05893173,0.043684210999999994,0.069959591,0.043684210999999994,0.134362365,0.046108823,0.166356014,0.051541475999999996,0.12562031,0.0519178,0.054888554000000006,0.046886453,0.079080053,0.074351682,0.078644292,0.063994909,0.05621729,0.145416682,0.063396888,0.044725775,0.132645386,0.09603158699999999,0.16425445800000002,0.043684210999999994,0.12751674400000002,0.043684210999999994,0.060924344000000005,0.043684210999999994,0.08241675,0.064986947,0.055083379,0.057765171,0.045297823,0.046028872,0.062356765999999994,-0.020709731000000002,1.5702348309999998,-0.006689346999999999,-0.063799907,0.997662078,-0.003824959,0.059602654000000005,0.002130859,-0.087365405,0.002034122,0.053986822000000004,0.116120117
5,0.05,-0.092814213,-0.056310408,0.002465652,0.01320945,0.008383352,0.02464665,0.04267779,0.0,0.95942974,0.0,-0.00979469,-0.001361024,0.254915668,2.82421085,0.046382927000000004,-0.035400088999999996,0,0,-0.33311162699999997,-4.38398893,0.10757249699999999,-2.15089827,0.136559793,-0.414870205,0.01070528,0.025727679,0,0,-0.14509803,0.26792268199999997,0.078177465,0.045253905,-0.0872665,0,0.046200924000000004,0.079137301,0.045833695,0.059849319000000005,0.042105263,0.07155974799999999,0.042105263,0.134367295,0.045136029,0.167732955,0.051926845,0.124510966,0.05239725,0.053543081,0.046108065999999996,0.079123174,0.080439603,0.078924598,0.067493637,0.056456269,0.169270853,0.06335636900000001,0.043407218,0.132221071,0.107539484,0.165106011,0.042105263,0.126881508,0.042105263,0.061087817999999995,0.042105263,0.083294045,0.068733684,0.05455358,0.059706463,0.045385244000000005,0.045036089,0.062225955,-0.012689911000000002,1.570315711,-0.008361594,-0.058572692,0.9982953459999999,-0.00387336,0.060823326,0.0018222479999999998,-0.086045495,0.021250625,0.056595642,0.12442441900000001
6,0.06,-0.09286881,-0.067572489,0.003354713,0.01585134,0.006760125,0.02957598,0.0428478,0.0,0.95943804,0.0,-0.00874419,-0.0016332279999999998,0.254308506,2.80845815,0.046752166,-0.042480107,0,0,-0.332482581,-4.10934478,0.107518172,-0.98873217,0.137683875,-0.497844246,0.010632421999999999,0.030873215,0,0,-0.14692972199999998,0.321507218,0.077948221,0.054304686,-0.0872665,0,0.045441108,0.07946014700000001,0.045000434000000006,0.060766908,0.040526316,0.073159906,0.040526316,0.134372225,0.044163235,0.16910989699999998,0.052312214,0.12340162199999999,0.05287669999999999,0.052197608,0.045329679000000005,0.079166295,0.08652752300000001,0.079204904,0.070992364,0.056695248,0.193125023,0.06331585099999999,0.042088662,0.131796756,0.119047381,0.165957564,0.040526316,0.12624627300000002,0.040526316,0.061251293,0.040526316,0.084171341,0.072480421,0.05402378099999999,0.061647756,0.045472664,0.044043307000000004,0.062095144000000005,-0.0046686359999999994,1.570346135,-0.010033781,-0.053342454000000004,0.9989429590000001,-0.003917102,0.062056010999999994,0.0015906610000000002,-0.08471160300000001,0.040411282,0.05965686,0.13277482699999998
7,0.07,-0.09349260599999999,-0.07883457099999999,0.00387291,0.01849323,0.008488625,0.03450531,0.04282823,0.0,0.95951877,0.0,-0.00793548,-0.0019054329999999998,0.25238576,2.74648458,0.046913562,-0.049560125,0,0,-0.327800239,-3.73304829,0.107122337,0.01778659,0.143814522,-0.580818287,0.010519055,0.036018751,0,0,-0.156247802,0.375091754,0.07789263,0.063355467,-0.0872665,0,0.044681293,0.079782993,0.044167173,0.061684496,0.038947367999999996,0.074760063,0.038947367999999996,0.134377154,0.043190440999999996,0.17048683899999997,0.052697583,0.122292278,0.05335615,0.050852135,0.044551292,0.079209417,0.092615444,0.07948521,0.07449109200000001,0.056934226,0.216979194,0.063275332,0.040770106,0.131372441,0.130555278,0.166809116,0.038947367999999996,0.12561103699999998,0.038947367999999996,0.061414767,0.038947367999999996,0.085048636,0.076227158,0.053493982,0.063589048,0.045560084,0.043050525,0.061964332999999996,0.003353588,1.5703260959999998,-0.011705897,-0.048109834000000004,0.99960486,-0.0039566309999999995,0.063301197,0.0014364229999999998,-0.083364018,0.059506669000000005,0.063169703,0.141164338
8,0.08,-0.094232939,-0.09009665300000001,0.004115045,0.02113512,0.00832807,0.03943464,0.04290277,0.0,0.95939042,0.0,-0.00698963,-0.002177638,0.251279158,2.69416568,0.047578367,-0.056640143,0,0,-0.324624934,-3.34348858,0.10692978,1.00956393,0.148477768,-0.663792328,0.01000923,0.041164286,0,0,-0.164009511,0.42867629100000004,0.081002945,0.07240624799999999,-0.0872665,0,0.043921478,0.08010584,0.043333912,0.062602085,0.037368421,0.07636022,0.037368421,0.134382084,0.042217646,0.17186378100000002,0.053082952,0.121182934,0.0538356,0.049506663,0.043772905,0.079252538,0.098703364,0.079765516,0.077989819,0.057173205,0.240833364,0.063234814,0.039451549,0.130948126,0.142063175,0.167660669,0.037368421,0.124975801,0.037368421,0.061578241,0.037368421,0.085925931,0.079973895,0.052964182,0.06553034099999999,0.045647505,0.042057743,0.061833520999999995,0.011376256000000001,1.570255591,-0.013377928999999998,-0.042875469000000006,1.000280976,-0.003992401,0.06455936400000001,0.0013598629999999998,-0.082003045,0.078527431,0.067133065,0.149585846
9,0.09,-0.094352008,-0.101358734,0.005611439,0.02377701,0.006016088,0.04436397,0.04306996,0.0,0.95944825,0.0,-0.00594295,-0.0024498429999999997,0.25050329600000004,2.62363741,0.047122122999999995,-0.063720161,0,0,-0.32303714899999997,-2.91783568,0.10674942,1.89977091,0.15160796,-0.746766369,0.010039623000000001,0.046309822,0,0,-0.17077017600000002,0.482260827,0.081896106,0.081457029,-0.0872665,0,0.043161662999999996,0.080428686,0.04250065099999999,0.063519674,0.035789474,0.077960377,0.035789474,0.134387014,0.041244852,0.17324072199999999,0.053468321,0.12007359,0.05431505,0.04816119,0.042994517999999995,0.079295659,0.104791285,0.080045821,0.081488546,0.057412184000000005,0.264687535,0.063194295,0.038132993,0.130523811,0.153571072,0.168512222,0.035789474,0.124340566,0.035789474,0.061741715999999995,0.035789474,0.086803227,0.083720632,0.052434383,0.067471634,0.045734925,0.041064961000000004,0.06170271,0.019398858999999997,1.570134626,-0.015049866,-0.037639992000000004,1.00097122,-0.004024873,0.065830989,0.00136132,-0.080629006,0.09746428900000001,0.07154550400000001,0.158032165
