Unnamed: 0,time,pelvis_list,pelvis_rotation,pelvis_tilt,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,pelvis_ty,lumbar_bending,lumbar_rotation,lumbar_extension
11,0.22000001,-0.051661746,0.03996804,-0.032637657,0.167202542,0.097214839,0.037350046,-0.217468025,0.080983277,0.208741379,-0.048694686,-0.012915436,-1.016654289,-0.092153385,0.96,0.051661746,-0.03996804,0.032637657
11.5,0.23000001,-0.046513025,0.039618974,-0.033423055,0.146607657,0.094945911,0.034644786,-0.204290789,0.086306532,0.234921318,-0.043371432,-0.021380283,-1.008189443,-0.074001961,0.96,0.046513025,-0.039618974,0.033423055
12,0.24000001,-0.041364303,0.039269908,-0.034208453,0.126012772,0.092676983,0.031939525,-0.191113553,0.091629786,0.261101256,-0.038048178,-0.02984513,-0.999724596,-0.055850536,0.96,0.041364303,-0.039269908,0.034208453
12.5,0.25000001,-0.036215582,0.038222711,-0.035081118,0.105505154,0.090495322,0.029059732,-0.177761785,0.096254908,0.284314135,-0.03307399,-0.036564648,-0.980351441,-0.039618974,0.96,0.036215582,-0.038222711,0.035081118
13,0.26000001,-0.031066861,0.037175513,-0.035953783,0.084997535,0.08831366,0.026179939,-0.164410016,0.100880031,0.307527014,-0.028099801,-0.043284165,-0.960978286,-0.023387412,0.96,0.031066861,-0.037175513,0.035953783
13.5,0.27000001,-0.026441739,0.035604717,-0.036739181,0.064926249,0.086306532,0.023649212,-0.151669112,0.105243354,0.327336501,-0.023649212,-0.048781953,-0.930609557,-0.009686578,0.96,0.026441739,-0.035604717,0.036739181
14,0.28000001,-0.021816616,0.03403392,-0.037524579,0.044854962,0.084299403,0.021118484,-0.138928208,0.109606677,0.347145988,-0.019198622,-0.05427974,-0.900240828,0.004014257,0.96,0.021816616,-0.03403392,0.037524579
14.5,0.29000001,-0.017715092,0.032026792,-0.03848451,0.025307275,0.08264134,0.018936823,-0.126972703,0.11397,0.363464816,-0.015358898,-0.059428461,-0.860185522,0.014573499,0.96,0.017715092,-0.032026792,0.03848451
15,0.30000001,-0.013613568,0.030019663,-0.039444441,0.005759587,0.080983277,0.016755161,-0.115017198,0.118333323,0.379783645,-0.011519173,-0.064577182,-0.820130216,0.025132741,0.96,0.013613568,-0.030019663,0.039444441
15.5,0.31000001,-0.010384709,0.027488936,-0.040317106,-0.013264502,0.07967428,0.0145735,-0.10437069,0.122871179,0.392699082,-0.008203048,-0.070249502,-0.772046395,0.032114058,0.96,0.010384709,-0.027488936,0.040317106
16,0.32000001,-0.00715585,0.024958208,-0.04118977,-0.032288591,0.078365283,0.012391838,-0.093724181,0.127409035,0.405614518,-0.004886922,-0.075921822,-0.723962574,0.039095375,0.96,0.00715585,-0.024958208,0.04118977
16.5,0.33000001,-0.004712389,0.021903882,-0.041975169,-0.050876348,0.077405352,0.01012291,-0.084299403,0.132295957,0.415126563,-0.002181662,-0.081419609,-0.669071969,0.042062435,0.96,0.004712389,-0.021903882,0.041975169
17,0.34000001,-0.002268928,0.018849556,-0.042760567,-0.069464104,0.076445421,0.007853982,-0.074874625,0.137182879,0.424638607,0.000523599,-0.086917397,-0.614181364,0.045029495,0.96,0.002268928,-0.018849556,0.042760567
17.5,0.35000001,-0.000610865,0.015097098,-0.043371432,-0.087615529,0.075834556,0.00567232,-0.06710791,0.142244334,0.430310927,0.002617994,-0.089535391,-0.554142038,0.043371432,0.96,0.000610865,-0.015097098,0.043371432
18,0.36000001,0.001047198,0.01134464,-0.043982297,-0.105766953,0.075223691,0.003490659,-0.059341195,0.147305789,0.435983247,0.004712389,-0.092153385,-0.494102711,0.041713369,0.96,-0.001047198,-0.01134464,0.043982297
18.5,0.37000001,0.002094396,0.006981317,-0.044331363,-0.123569311,0.074787359,0.001658063,-0.053407076,0.152629043,0.438426708,0.006195919,-0.089360858,-0.432318056,0.036826447,0.96,-0.002094396,-0.006981317,0.044331363
19,0.38000001,0.003141593,0.002617994,-0.044680429,-0.141371669,0.074351026,-0.000174533,-0.047472956,0.157952297,0.440870169,0.007679449,-0.086568331,-0.3705334,0.031939525,0.96,-0.003141593,-0.002617994,0.044680429
19.5,0.39000001,0.003665192,-0.002617994,-0.044593163,-0.158475896,0.073827428,-0.000872664,-0.04441863,0.163013752,0.440782902,0.008464847,-0.07845255,-0.311279472,0.026092672,0.96,-0.003665192,0.002617994,0.044593163
20,0.40000001,0.00418879,-0.007853982,-0.044505896,-0.175580123,0.073303829,-0.001570796,-0.041364303,0.168075207,0.440695636,0.009250245,-0.070336769,-0.252025544,0.020245819,0.96,-0.00418879,0.007853982,0.044505896
20.5,0.41000001,0.004537856,-0.013439035,-0.043982297,-0.191462619,0.072518431,-0.000959931,-0.041975169,0.17270033,0.438863041,0.009599311,-0.059690261,-0.200014733,0.014835299,0.96,-0.004537856,0.013439035,0.043982297
