Unnamed: 0,time,pelvis_tilt,pelvis_tilt_speed,pelvis_list,pelvis_list_speed,pelvis_rotation,pelvis_rotation_speed,pelvis_tx,pelvis_tx_speed,pelvis_ty,pelvis_ty_speed,pelvis_tz,pelvis_tz_speed,hip_flexion_r,hip_flexion_r_speed,hip_adduction_r,hip_adduction_r_speed,hip_rotation_r,hip_rotation_r_speed,knee_angle_r,knee_angle_r_speed,ankle_angle_r,ankle_angle_r_speed,hip_flexion_l,hip_flexion_l_speed,hip_adduction_l,hip_adduction_l_speed,hip_rotation_l,hip_rotation_l_speed,knee_angle_l,knee_angle_l_speed,ankle_angle_l,ankle_angle_l_speed,lumbar_extension,lumbar_extension_speed,abd_r_activation,abd_r_fiber_length,add_r_activation,add_r_fiber_length,hamstrings_r_activation,hamstrings_r_fiber_length,bifemsh_r_activation,bifemsh_r_fiber_length,glut_max_r_activation,glut_max_r_fiber_length,iliopsoas_r_activation,iliopsoas_r_fiber_length,rect_fem_r_activation,rect_fem_r_fiber_length,vasti_r_activation,vasti_r_fiber_length,abd_l_activation,abd_l_fiber_length,add_l_activation,add_l_fiber_length,hamstrings_l_activation,hamstrings_l_fiber_length,bifemsh_l_activation,bifemsh_l_fiber_length,glut_max_l_activation,glut_max_l_fiber_length,iliopsoas_l_activation,iliopsoas_l_fiber_length,rect_fem_l_activation,rect_fem_l_fiber_length,vasti_l_activation,vasti_l_fiber_length,gastroc_l_activation,gastroc_l_fiber_length,soleus_l_activation,soleus_l_fiber_length,tib_ant_l_activation,tib_ant_l_fiber_length,head_pos_x,head_pos_y,head_pos_z,com_pos_x,com_pos_y,com_pos_z,toes_l_x,toes_l_y,toes_l_z,pros_foot_r_x,pros_foot_r_y,pros_foot_r_z
271,2.71,-0.312473006,-0.19425465,-0.025998712,0.11307085,-0.216940657,-0.04062381,1.71473922,1.09739188,1.12255727,-0.22811475,0.08527025,0.04208846,0.483671443,0.44900685,0.071833054,0.35675424,0,0,-1.119753328,4.7395406,-0.069878859,-0.33507291,0.897801295,-0.99198035,-0.093848346,0.09780805,0,0,-0.627666725,-0.23437207,0.463854332,0.97669057,-0.0872665,0,0.02260051,0.0858351,0.0221775,0.07419544,0.02013723,0.0971966,0.022,0.13411046,0.02254361,0.19073934,0.05793356,0.10509041,0.04787418,0.03038326,0.03209984,0.08061021,0.12624384,0.07884752,0.04050331,0.05310336,0.4073795,0.05369137,0.02260359,0.13089665,0.25504352,0.16137973,0.02003771,0.12995425,0.02003784,0.06989853,0.02000861,0.08754346,0.0870715,0.05499467,0.05119382,0.04883425,0.03097495,0.05865145,3.221248106,1.565030576,-0.008994545,3.133878605,1.006773998,0.009066393,3.049352951,0.007859288,-0.032381201,3.487132669,0.161910452,0.227060575
272,2.72,-0.314178896,-0.18322301,-0.016878539,0.11286012,-0.217215354,-0.03195747,1.72899977,1.11055364,1.12574898,-0.23880716,0.08193902,0.04608483,0.542066522,0.44016996,0.057905063,0.35513165,0,0,-1.194500318,4.58048349,-0.067908387,-0.34675544,0.875617414,-0.9731532,-0.078911934,0.09327491,0,0,-0.615432766,-0.32078891,0.482208016,0.98135561,-0.0872665,0,0.02227572,0.08600654,0.02190582,0.07402638,0.02012019,0.09726806,0.022,0.13411762,0.02247531,0.19089875,0.06731177,0.10481338,0.05156302,0.03016155,0.0313219,0.08057609,0.12395388,0.07867657,0.03861365,0.0530267,0.39515866,0.05320985,0.02252859,0.13083612,0.25558781,0.16083671,0.02003303,0.13032093,0.02003314,0.07044819,0.02000755,0.08764395,0.08483388,0.05548679,0.04924131,0.04923463,0.03034164,0.05820586,3.233479701,1.562647695,-0.007862221,3.144420155,1.00469906,0.009449858,3.049475469,0.007700706,-0.03256128,3.498511607,0.159257933,0.223958307
273,2.73,-0.313289836,-0.17398059,-0.009036533,0.1133607,-0.213178447,-0.02215327,1.74322614,1.12346374,1.12843095,-0.24783989,0.07874875,0.04977935,0.598027431,0.44068887,0.045474852,0.35165974,0,0,-1.262346104,4.36429102,-0.019338381,-0.36362567,0.853935839,-0.9511652,-0.062269595,0.08994438,0,0,-0.608676086,-0.40723874,0.507646777,0.96171786,-0.0872665,0,0.02199172,0.08618374,0.0216682,0.07386655,0.02010527,0.09735105,0.022,0.13412447,0.02216664,0.19107827,0.06717079,0.10460296,0.05467352,0.02995336,0.0318903,0.08055289,0.12411075,0.07850324,0.03697493,0.05296388,0.40664489,0.05270073,0.02246256,0.13075616,0.25719719,0.16030155,0.02002893,0.13067877,0.02002903,0.07102824,0.02000661,0.08779236,0.08424415,0.0559078,0.04912605,0.04961438,0.02978853,0.05776661,3.2457778,1.560166647,-0.006685725,3.155102914,1.002541461,0.009875769,3.049628533,0.007563116,-0.032751367,3.510419216,0.15671686,0.220881188
274,2.74,-0.311989952,-0.16357377,-0.001976471,0.11566535,-0.205717515,-0.01226864,1.75709522,1.13726477,1.13120995,-0.25472461,0.07562404,0.05271954,0.653411874,0.44898548,0.034190579,0.34282594,0,0,-1.314977983,4.08945796,0.02728967,-0.36301296,0.830540475,-0.93419675,-0.044342143,0.08974775,0,0,-0.597106786,-0.48532764,0.525919827,0.92000761,-0.0872665,0,0.02174333,0.08637298,0.02146032,0.07373022,0.0200922,0.09746881,0.022,0.13412915,0.02189632,0.19129253,0.07158838,0.10438519,0.05767789,0.02974586,0.03216458,0.08053408,0.12371174,0.07833084,0.03555458,0.05290744,0.39695089,0.05217846,0.02240479,0.13065521,0.25922826,0.15977504,0.02002534,0.13102796,0.02002543,0.07163729,0.02000579,0.08798276,0.08216382,0.05631223,0.04880156,0.04996184,0.02930654,0.05733399,3.258147322,1.557607389,-0.005462212,3.16594481,1.000328563,0.01034359,3.049801227,0.007428436,-0.032944561,3.523159875,0.154471943,0.217848126
275,2.75,-0.310658507,-0.15147697,0.004119815,0.12048868,-0.196440392,-0.00421527,1.77065663,1.15223459,1.13381639,-0.25942928,0.07263385,0.05470266,0.707727059,0.46056071,0.024495083,0.32692758,0,0,-1.354654416,3.75758849,0.064655305,-0.34536009,0.807454298,-0.92660558,-0.026629388,0.09372612,0,0,-0.584806412,-0.54868878,0.541699287,0.84860426,-0.0872665,0,0.02196053,0.08657103,0.02127845,0.07362901,0.02008076,0.09764191,0.022,0.13413297,0.02165989,0.19155115,0.07750613,0.10411468,0.05795423,0.02954119,0.03373032,0.08050511,0.12447851,0.07815894,0.03483684,0.05285121,0.40813417,0.05163031,0.02235424,0.13053496,0.26112593,0.15925549,0.0200222,0.1313707,0.02002227,0.07227415,0.02000507,0.08820889,0.08197872,0.05665652,0.04917782,0.05026627,0.03028526,0.05689611,3.270589915,1.554992152,-0.004186988,3.176961061,0.9980873,0.010850992,3.049996773,0.007311234,-0.033135192,3.536955486,0.152668901,0.214894282
276,2.76,-0.30896087,-0.13617439,0.009340923,0.12835877,-0.186221924,0.00107012,1.78410567,1.16888151,1.13614473,-0.26164772,0.06989096,0.05559479,0.760371907,0.47300301,0.015859874,0.30284746,0,0,-1.380786382,3.36862513,0.104859783,-0.28770644,0.785431573,-0.92869635,-0.009875142,0.10281261,0,0,-0.574514777,-0.59898869,0.557195661,0.75177482,-0.0872665,0,0.02171654,0.08678804,0.02111929,0.07357196,0.02007074,0.09787981,0.022,0.13413781,0.02145305,0.19185631,0.07595697,0.10384371,0.05906854,0.02931739,0.03386937,0.08048115,0.12287934,0.0779942,0.03369975,0.05279659,0.38105922,0.05110732,0.02231001,0.1303988,0.26258062,0.15873814,0.02001944,0.13171084,0.02001951,0.07293632,0.02000444,0.08846263,0.07614028,0.05709819,0.04976403,0.05052742,0.02948667,0.05648518,3.283103963,1.552346534,-0.002853991,3.188163999,0.995843657,0.011394623,3.050212483,0.007201275,-0.033316915,3.551936783,0.151410448,0.212066268
277,2.77,-0.307117544,-0.1177484,0.013647178,0.13885568,-0.17428965,0.00465891,1.7975598,1.18732927,1.13840878,-0.26142155,0.067428,0.05545095,0.810022231,0.48501418,0.008149504,0.26993854,0,0,-1.393324451,2.92511392,0.143753931,-0.19544479,0.763798505,-0.94070157,0.006235009,0.11597772,0,0,-0.565133774,-0.63395119,0.571551415,0.63215989,-0.0872665,0,0.02150261,0.0870161,0.02098001,0.07356459,0.02006196,0.09817795,0.022,0.13414219,0.02127208,0.19220753,0.0765356,0.10354678,0.06072932,0.02904881,0.03490313,0.0804559,0.12338755,0.07783011,0.03322351,0.05273709,0.39619535,0.05056533,0.02405,0.13023044,0.26315914,0.15821898,0.02001703,0.13205167,0.02001709,0.07362181,0.02000389,0.08873734,0.07368437,0.05750998,0.05115602,0.05073266,0.029043,0.05611772,3.295687349,1.549696357,-0.001456906,3.199562951,0.993621898,0.011970967,3.050469976,0.00712216,-0.033486968,3.568067058,0.150713936,0.209411875
278,2.78,-0.305058207,-0.0947048,0.017232649,0.15149818,-0.162145944,0.00877569,1.81110037,1.20815871,1.14060915,-0.25849879,0.06531173,0.05431876,0.855276089,0.48938606,0.001498196,0.22730121,0,0,-1.39180756,2.43756152,0.183011018,-0.09679835,0.741671839,-0.95897797,0.020838822,0.13233728,0,0,-0.556388959,-0.66760555,0.585078662,0.50832675,-0.0872665,0,0.02131545,0.08724705,0.0208581,0.07360718,0.02005427,0.09852931,0.022,0.13414605,0.02111372,0.1925924,0.07628072,0.10321094,0.05911259,0.0287489,0.03427276,0.08044394,0.12192179,0.07767068,0.03153096,0.05267808,0.40805313,0.04995259,0.02379423,0.13006935,0.26312554,0.15769253,0.02001492,0.1323966,0.02001497,0.07432902,0.02000341,0.08902725,0.07421254,0.05775119,0.04950438,0.05096559,0.02814995,0.05579999,3.308336186,1.547070331,8.72E-06,3.211164292,0.99144383,0.012577417,3.050779667,0.007076474,-0.03364519,3.585278162,0.150579448,0.20698336
279,2.79,-0.302644309,-0.06819795,0.0196998,0.16586637,-0.149265933,0.01479424,1.82461222,1.23076701,1.1425503,-0.2530603,0.06359493,0.05234683,0.896194132,0.48917416,-0.003604816,0.17460386,0,0,-1.378086585,1.90648477,0.218947075,-0.01836038,0.719721575,-0.97375627,0.033730727,0.15048807,0,0,-0.549538659,-0.72083498,0.597965396,0.36704288,-0.0872665,0,0.02115167,0.08747243,0.02075138,0.07371797,0.02004753,0.09892072,0.022,0.13415103,0.02097513,0.19299702,0.07513293,0.1028518,0.06783426,0.0283442,0.03426211,0.0804347,0.12148601,0.07751384,0.03082314,0.05260994,0.38997034,0.04935597,0.023968,0.12989814,0.26271963,0.15715728,0.02001307,0.13274604,0.02001311,0.07506349,0.02000298,0.08933675,0.06660962,0.05806271,0.0511618,0.05113044,0.02737112,0.05553773,3.321045908,1.544495926,0.001546624,3.222972189,0.989329103,0.013212709,3.051131021,0.007093922,-0.033796025,3.603396823,0.150946988,0.204831619
280,2.8,-0.300429269,-0.03865643,0.021080071,0.18089506,-0.137554193,0.02407235,1.83803137,1.25514313,1.14436254,-0.24488723,0.06232214,0.04984934,0.933126264,0.48412848,-0.006497378,0.11290661,0,0,-1.352401991,1.335584,0.252476262,0.04349409,0.697434167,-0.98705398,0.044174219,0.1677879,0,0,-0.541666736,-0.77781109,0.610823509,0.20545347,-0.0872665,0,0.02100835,0.0876843,0.02065796,0.07389029,0.02004163,0.09933535,0.022,0.13415489,0.02085383,0.19340745,0.07226624,0.10248908,0.06924965,0.02788191,0.03426748,0.08042566,0.119246,0.07736356,0.03071729,0.05252708,0.38356774,0.0487814,0.02399505,0.12971287,0.26019041,0.15661663,0.02001144,0.13309928,0.02001148,0.07583019,0.02000261,0.08967111,0.06016795,0.05849271,0.05209054,0.05124099,0.0266922,0.05533163,3.33381353,1.542000962,0.00315894,3.234989907,0.987296713,0.013876964,3.051527876,0.007187471,-0.033949272,3.62219882,0.151723247,0.203005789
